novela/Título,novela/Autor,novela/Serie,novela/Vol.,novela/Editorial,novela/Idioma,novela/Notas,manga/Manga,manga/Tomo,manga/Guión,manga/Dibujo,manga/Editorial,manga/Idioma,revistas/Revista,revistas/Publicación,revistas/País
Los Años de Peregrinación del Mundo sin Color,Haruki Murakami,,,Tusquets Editores,spa,,Fullmetal Alchemist,010,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
After Dark,Haruki Murakami,,,Tusquets Editores,spa,,Fullmetal Alchemist,011,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
La Muerte del Comendador,Haruki Murakami,La Muerte del Comendador,1,Tusquets Editores,spa,,Fullmetal Alchemist,012,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y La Piedra Filosofal,"Rowling, J. K.",Harry Potter,1,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,013,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y la Cámara de los Secretos,"Rowling, J. K.",Harry Potter,2,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,014,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y el Prisionero de Azkaban,"Rowling, J. K.",Harry Potter,3,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,015,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y el Cáliz de Fuego,"Rowling, J. K.",Harry Potter,4,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,016,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y la Órden del Fénix,"Rowling, J. K.",Harry Potter,5,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,017,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y el Misterio del Príncipe,"Rowling, J. K.",Harry Potter,6,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,018,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y las Reliquias de la Muerte,"Rowling, J. K.",Harry Potter,7,Salamandra,spa,Ed. Especial Hufflepuff,Fullmetal Alchemist,019,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y La Piedra Filosofal,"Rowling, J. K.",Harry Potter,1,Salamandra,spa,Minalima,Fullmetal Alchemist,020,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y la Cámara de los Secretos,"Rowling, J. K.",Harry Potter,2,Salamandra,spa,Minalima,Fullmetal Alchemist,021,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Harry Potter y el Prisionero de Azkaban,"Rowling, J. K.",Harry Potter,3,Salamandra,spa,Minalima,Fullmetal Alchemist,022,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Los Cuentos de Beedle el Bardo,"Rowling, J. K.",Harry Potter,,Salamandra,spa,,Fullmetal Alchemist,023,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Quidditch a Través de los Tiempos,"Rowling, J. K.",Harry Potter,,Whizz Hard Books,spa,,Fullmetal Alchemist,024,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Animales Fantásticos y Dónde Encontrarlos,"Rowling, J. K.",Harry Potter,,Salamandra,spa,,Fullmetal Alchemist,025,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Estudio en Escarlata,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Fullmetal Alchemist,026,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
El Signo de los Cuatro,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Fullmetal Alchemist,027,Hiromu Arokawa,Hiromu Arokawa,Norma Editorial,spa,,,
Escándalo en Bohemia,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Atelier of Witch Hat: Ed. Grimorio,001,Kamome Shirahama,Kamome Shirahama,Milky Way Ediciones,spa,,,
Estrella de Plata,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Atelier of Witch Hat: Ed. Grimorio,002,Kamome Shirahama,Kamome Shirahama,Milky Way Ediciones,spa,,,
El Carbunclo Azul,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Atelier of Witch Hat: Ed. Grimorio,003,Kamome Shirahama,Kamome Shirahama,Milky Way Ediciones,spa,,,
El Problema Final,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,El Arte de Atelier of Witch Hat,001,Kamome Shirahama,Kamome Shirahama,Milky Way Ediciones,spa,,,
El Sabueso de los Baskerville,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,001,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
La Casa Vacía,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,002,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Enigma de la Mesa de Juego,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,003,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Vestido de la Reina,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,004,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Pabellón Wisteria,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,005,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Valle del Terror,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,006,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
La Piedra de Mazarino,"Conan Doyle, Sir Arthur",The Sherlock Holmes Collection,,RBA,spa,,Bungo Stray Dogs,007,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Santo del Monte Koya,Izumi Kyoka,,,Satori Ediciones,spa,,Bungo Stray Dogs,008,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Sobre el Dragón del Abismo,Izumi Kyoka,,,Satori Ediciones,spa,,Bungo Stray Dogs,009,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Futón,Tayama Katai,,,Satori Ediciones,spa,,Bungo Stray Dogs,010,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Gorrión de Java,Natsume Soseki,,,Satori Ediciones,spa,,Bungo Stray Dogs,011,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Daisuke,Natsume Soseki,,,Impedimenta,spa,,Bungo Stray Dogs,012,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Soy un Gato,Natsume Soseki,,,Impedimenta,spa,,Bungo Stray Dogs,013,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Kokoro,Natsume Soseki,,,Satori Ediciones,spa,,Bungo Stray Dogs,014,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Signo de los Tiempos,Oda Sakunosuke,,,Satori Ediciones,spa,,Bungo Stray Dogs,015,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Sobre la Decadencia,Sakaguchi Ango,,,Satori Ediciones,spa,,Bungo Stray Dogs,016,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Tormenta de Flores,Osamu Dazai,,,Satori Ediciones,spa,,Bungo Stray Dogs,017,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Indigno de Ser Humano,Osamu Dazai,,,Satori Ediciones,spa,,Bungo Stray Dogs,018,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Indigno de Ser Humano,Osamu Dazai,,,Al Margen - Sajalín editores,spa,,Bungo Stray Dogs,019,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Ocho Escenas de Tokio,Osamu Dazai,,,Al Margen - Sajalín editores,spa,,Bungo Stray Dogs,020,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
El Declive,Osamu Dazai,,,Al Margen - Sajalín editores,spa,,Bungo Stray Dogs,021,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
Repudiados,Osamu Dazai,,,Al Margen - Sajalín editores,spa,,Bungo Stray Dogs,022,Kafka Asagiri,Sango Harukawa,Norma Editorial,spa,,,
La Caja de Pandora,Osamu Dazai,,,Ediciones Sajalín,spa,,Bungo Stray Dogs: Another Story,001,Kafka Asagiri,Sango Harukawa; Oyoyo,Yen Press,en,,,
Cuentos de Cabecera,Osamu Dazai,,,Satori Ediciones,spa,,Bungo Stray Dogs: Raku-gaki Techo,001,Kafka Asagiri,Sango Harukawa,Kadokawa Shoten,jp,,,
Recuerdos,Osamu Dazai,,,Satori Ediciones,spa,,Death Note: Black Edition,001,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
La Felicidad de la Familia,Osamu Dazai,,,Candaya,spa,,Death Note: Black Edition,002,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
The Poems of Nakahara Chuuya,Chuuya Nakahara,,,Gracewing,en,,Death Note: Black Edition,003,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
Abrazado a las Estrellas,Chuuya Nakahara,,,Satori Ediciones,spa,,Death Note: Black Edition,004,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
Triste y Bello,Chuuya Nakahara,,,Satori Ediciones,spa,,Death Note: Black Edition,005,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
Rashomon y otros relatos históricos,Akutagawa Ryunosuke,,,Satori Ediciones,spa,,Death Note: Black Edition,006,Tsugumi Ohba,Takeshi Obata,Norma Editorial,spa,,,
El Tabaco y el Diablo,Akutagawa Ryunosuke,,,Satori Ediciones,spa,,Sherlock: Estudio en Rosa,001,Steven Moffat; Mark Gatiss,Jay,Norma Editorial,spa,,,
Vida de un Idiota,Akutagawa Ryunosuke,,,Satori Ediciones,spa,,Sherlock: El Banquero Ciego,002,Steven Moffat; Mark Gatiss,Jay,Norma Editorial,spa,,,
Crímenes selectos,Edogawa Ranpo,,,Satori Ediciones,spa,,Sherlock: El Gran Juego,003,Steven Moffat; Mark Gatiss,Jay,Norma Editorial,spa,,,
Musashino,Kunikida Doppo,,,Chidori Books,spa,,,,,,,,,,
El Tren Nocturno de la Vía Láctea,Miyazawa Kenji,,,Satori Ediciones,spa,,,,,,,,,,
Juventud,Mori Ogai,,,Satori Ediciones,spa,,,,,,,,,,
El Vuelo del Ave Fénix,Akiko Yosano,,,Satori Ediciones,spa,,,,,,,,,,
El Elogio de la Sombra,Juniichiro Tanizaki,,,Satori Ediciones,spa,,,,,,,,,,
Un Día de Nieve,Higuchi Ichiyo,,,Satori Ediciones,spa,,,,,,,,,,
Crónicas del Gato Viajero,Hiro Arikawa,,,,spa,,,,,,,,,,
El Pequeño Estudio de los Recuerdos Perdidos,Sanaka Hiiragi,,,Grijalbo,spa,,,,,,,,,,
De Pronto Oigo la Voz del Agua,Hiromi Kawakami,,,Alfaguara,spa,,,,,,,,,,
¿Cómo vives?,Genzaburo Yoshino,,,,spa,,,,,,,,,,
La Luz del Norte,Hideo Yokohama,,,Salamandra,spa,,,,,,,,,,
Si Pudiera Cambiarlos,,,,Satori Ediciones,spa,,,,,,,,,,
Un Lugar Desconocido,Seicho Matsumoto,,,,spa,,,,,,,,,,
El Castillo de Arena,Seicho Matsumoto,,,,spa,,,,,,,,,,
Antes de que se enfríe el café,Toshikazu Kawaguchi,,,DeBolsillo,spa,,,,,,,,,,
El gato que amaba los libros,Sosuke Natsukawa,,,DeBolsillo,spa,,,,,,,,,,
Los Misterios de la Taberna Kamogawa,Hisashi Kashiwai,Taberna Kamogawa,1,DeBolsillo,spa,,,,,,,,,,
Mis días en la librería Morisaki,Satoshi Yagisawa,La Librería Morisaki,1,,spa,,,,,,,,,,
Una velada en la librería Morisaki,Satoshi Yagisawa,La Librería Morisaki,2,,spa,,,,,,,,,,
Los sueños de la primavera,Teru Miyamoto,,,,spa,,,,,,,,,,
Territorio de Luz,Yuko Tsushima,,,Impedimenta,spa,,,,,,,,,,
El lenguaje de las flores,Alex Pler,,,Satori Ediciones,spa,,,,,,,,,,
Folk tales of Japan,Kyota Ko,,,,en,,,,,,,,,,
Kokoro,Lafcadio Hearn,,,Satori Ediciones,spa,,,,,,,,,,
Cien aspectos de la luna,Yoshitoshi,,,,spa,,,,,,,,,,
Kanjiru; La magia de los Kanji,Takeshi Hirano,,,Satori Ediciones,spa,,,,,,,,,,
Shiawase-do,Alex Pler,,,Satori Ediciones,spa,,,,,,,,,,
Mitos y leyendas de Japón,Frederick Hadland Davis,,,Satori Ediciones,spa,,,,,,,,,,
Cuentos tradicionales de Japón,Richard Gordon Smith,,,Satori Ediciones,spa,,,,,,,,,,
Kojiki: Crónicas de antiguos hechos de Japón,,,,,spa,,,,,,,,,,
Cuentos de un pasado lejano,VVAA,,,Satori Ediciones,spa,,,,,,,,,,
El Código del Samurai,Inazo Nitobe,,,,spa,,,,,,,,,,
